Category,Frequency,Percentage (%)
0,152295,66.72201460659882
6,49229,21.567734049497705
7,6872,3.0106942734597135
5,6503,2.8490315570879683
8,5752,2.520010689892356
4,1071,0.4692161767862854
9,910,0.3986804116484778
58,764,0.334716301647733
1,720,0.3154394465790154
57,590,0.2584851020578043
10,562,0.24621801246862035
59,443,0.19408288171458865
11,425,0.18619689555011326
12,363,0.15903405431692025
13,319,0.13975719924820265
14,209,0.09156506157640863
15,179,0.078421751302283
16,142,0.06221166863086137
56,135,0.059144896233565385
2,109,0.04775402732932316
3,109,0.04775402732932316
60,66,0.028915282603076412
17,61,0.026724730890722137
18,42,0.0184006343837759
19,37,0.016210082671421624
62,24,0.010514648219300513
37,22,0.009638427534358803
38,21,0.00920031719188795
61,21,0.00920031719188795
24,15,0.006571655137062821
20,15,0.006571655137062821
22,14,0.006133544794591966
36,12,0.005257324109650257
25,12,0.005257324109650257
63,12,0.005257324109650257
21,11,0.004819213767179402
26,9,0.003942993082237693
33,9,0.003942993082237693
28,8,0.003504882739766838
35,7,0.003066772397295983
23,7,0.003066772397295983
27,5,0.0021905517123542734
31,4,0.001752441369883419
29,4,0.001752441369883419
51,4,0.001752441369883419
39,4,0.001752441369883419
44,4,0.001752441369883419
34,3,0.0013143310274125642
40,3,0.0013143310274125642
47,3,0.0013143310274125642
53,3,0.0013143310274125642
46,3,0.0013143310274125642
49,3,0.0013143310274125642
108,2,0.0008762206849417095
145,2,0.0008762206849417095
30,2,0.0008762206849417095
238,2,0.0008762206849417095
102,2,0.0008762206849417095
479,2,0.0008762206849417095
45,2,0.0008762206849417095
252,2,0.0008762206849417095
83,1,0.00043811034247085475
41,1,0.00043811034247085475
146,1,0.00043811034247085475
757,1,0.00043811034247085475
753,1,0.00043811034247085475
363,1,0.00043811034247085475
95,1,0.00043811034247085475
48,1,0.00043811034247085475
76,1,0.00043811034247085475
392,1,0.00043811034247085475
561,1,0.00043811034247085475
85,1,0.00043811034247085475
409,1,0.00043811034247085475
119,1,0.00043811034247085475
248,1,0.00043811034247085475
739,1,0.00043811034247085475
101,1,0.00043811034247085475
298,1,0.00043811034247085475
272,1,0.00043811034247085475
247,1,0.00043811034247085475
445,1,0.00043811034247085475
81,1,0.00043811034247085475
87,1,0.00043811034247085475
114,1,0.00043811034247085475
64,1,0.00043811034247085475
65,1,0.00043811034247085475
96,1,0.00043811034247085475
32,1,0.00043811034247085475
50,1,0.00043811034247085475
172,1,0.00043811034247085475
471,1,0.00043811034247085475
147,1,0.00043811034247085475
275,1,0.00043811034247085475
211,1,0.00043811034247085475
318,1,0.00043811034247085475
436,1,0.00043811034247085475
54,1,0.00043811034247085475
310,1,0.00043811034247085475
343,1,0.00043811034247085475
1189,1,0.00043811034247085475
1063,1,0.00043811034247085475
74,1,0.00043811034247085475
401,1,0.00043811034247085475
209,1,0.00043811034247085475
168,1,0.00043811034247085475
43,1,0.00043811034247085475
245,1,0.00043811034247085475
189,1,0.00043811034247085475
542,1,0.00043811034247085475
395,1,0.00043811034247085475
514,1,0.00043811034247085475
1743,1,0.00043811034247085475
497,1,0.00043811034247085475
321,1,0.00043811034247085475
315,1,0.00043811034247085475
86,1,0.00043811034247085475
1495,1,0.00043811034247085475
91,1,0.00043811034247085475
322,1,0.00043811034247085475
55,1,0.00043811034247085475
601,1,0.00043811034247085475
670,1,0.00043811034247085475
317,1,0.00043811034247085475
326,1,0.00043811034247085475
354,1,0.00043811034247085475
140,1,0.00043811034247085475
566,1,0.00043811034247085475
84,1,0.00043811034247085475
